FamilyID,InstanceZ
11991,
11991,
11991,1.1.1.1.1.1
11991,
11991,
11991,
11991,
11991,
11991,
11991,
11991,
11991,
11991,
11996,0.0.0.0.0.0
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,0.0.0.2.0.0
11996,
11996,
11996,
11996,0.0.0.2.0.2
11996,
11996,
11996,0.0.0.2.1.2
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,1.0.0.2.1.2
11996,
11996,
11996,
11996,2.0.0.2.1.2
11996,
11996,
11996,
11996,2.1.0.2.1.2
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,
11996,2.1.0.2.2.2
11996,
11996,
11996,
11996,
11997,0.0.0.0.0.0
11997,
11997,
11997,0.0.0.1.0.0
11997,
11997,
11997,
11997,
11997,
11997,0.0.0.1.1.0
11997,
11997,
11997,
11997,0.0.0.1.1.1
11997,
11997,
11997,
11997,
11997,
11997,
11997,0.1.0.1.1.1
11997,
11997,
11997,1.1.0.1.1.1
11997,
11997,
11997,
11997,
11997,
11997,1.1.1.1.1.1
11997,
11997,
11997,1.1.1.3.1.1
11997,
11997,
11997,1.1.1.4.1.1
11997,
11997,
11997,
11997,
11997,
11997,
11997,
11997,
11997,
11997,1.2.1.4.1.1
11997,
11997,
11997,
11997,
11997,
11997,
11997,
11997,2.2.1.4.1.1
11997,
11997,
11998,0.0.0.0.0.0
11998,
11998,
11998,
11998,
11998,
11998,
11998,
11998,
11998,
11998,2.0.0.0.0.0
11998,
11998,
11998,2.1.0.0.0.0
11998,
11998,6.2.0.0.0.0
11998,
11998,
11998,
11998,
11998,
11998,
11998,
11998,
11998,
11998,6.2.0.2.0.0
11998,6.2.0.1.0.0
11998,
11998,
11998,6.2.0.1.2.0
11998,
11998,
11998,
11998,6.2.1.1.2.0
11998,
11998,
11998,
11998,
11998,
11998,
11998,6.2.2.1.2.0
11998,
11998,
11998,
11998,6.2.2.1.1.0
11998,
11998,
11998,
11998,6.2.2.1.1.1
11998,
11998,
11998,
11998,6.2.2.1.2.1
11998,
11998,
11998,
11998,
11998,
11998,
11998,
11998,
11998,
11998,
11998,6.2.2.1.2.2
11998,
11998,
11998,
11998,
11998,
11998,
11998,2.2.2.1.2.2
11998,
11998,
11998,
11998,
11998,
11998,
11998,2.6.2.1.2.2
11998,
12000,0.0.0.0.0.0
12000,
12000,
12000,
12000,
12000,
12000,
12000,
12000,
12000,
12000,0.0.0.0.1.0
12000,
12000,
12000,
12000,
12000,
12000,
12000,
12000,
12000,0.0.0.1.1.0
12000,
12000,
12000,
12000,
12000,
12000,
12000,
12000,
12000,
12000,
12000,
12000,
12000,0.0.0.1.1.1
12000,
12000,
12000,
12000,
12000,1.0.0.1.1.1
12000,
12000,
12000,1.0.1.1.1.1
12000,
12000,
12000,1.1.1.1.1.1
12000,
12000,
12000,
12000,
12000,
12000,
12001,0.0.0.0.0.0
12001,
12001,
12001,0.0.0.1.0.0
12001,
12001,
12001,
12001,0.0.0.1.1.0
12001,
12001,
12001,1.0.0.1.1.0
12001,
12001,
12001,
12001,1.1.0.1.1.0
12001,
12001,
12001,
12001,
12001,1.1.0.2.1.0
12001,
12001,
12001,
12001,
12001,
12001,
12001,1.2.0.2.1.0
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,1.2.1.2.1.0
12001,
12001,
12001,1.1.1.2.1.0
12001,
12001,
12001,1.1.1.2.1.1
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,2.1.1.2.1.1
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,
12001,2.1.1.2.1.2
12001,
12001,
