"","frequency","count","mass","cum_mass","MAUI","UI","norm_rank","TypeItem","sample_size"
"436",5,15,75,1226,0.629835718071012,0.983333333333333,0.85,"I1",300
"437",4,23,92,1318,0.674085850556439,0.986666666666667,0.883333333333333,"I1",300
"438",3,39,117,1435,0.729464758876524,0.99,0.916666666666667,"I1",300
"439",2,60,120,1555,0.792262851086381,0.993333333333333,0.95,"I1",300
"440",1,332,332,1887,0.912029676735559,0.996666666666667,0.983333333333333,"I1",300
"441",284,1,284,284,0.0540334855403349,0.0533333333333333,0.0125,"I2",300
"442",165,1,165,449,0.139459665144597,0.45,0.0375,"I2",300
"443",145,1,145,594,0.198439878234399,0.516666666666667,0.0625,"I2",300
"444",138,1,138,732,0.252283105022831,0.54,0.0875,"I2",300
"445",105,1,105,837,0.29851598173516,0.65,0.1125,"I2",300
"446",97,1,97,934,0.336948249619482,0.676666666666667,0.1375,"I2",300
"447",94,1,94,1028,0.373287671232877,0.686666666666667,0.1625,"I2",300
"448",92,1,92,1120,0.408675799086758,0.693333333333333,0.1875,"I2",300
"449",78,1,78,1198,0.441019786910198,0.74,0.2125,"I2",300
"450",74,1,74,1272,0.469939117199391,0.753333333333333,0.2375,"I2",300
"451",72,1,72,1344,0.497716894977169,0.76,0.2625,"I2",300
"452",70,1,70,1414,0.524733637747336,0.766666666666667,0.2875,"I2",300
"453",63,1,63,1477,0.550038051750381,0.79,0.3125,"I2",300
"454",52,1,52,1529,0.571917808219178,0.826666666666667,0.3375,"I2",300
"455",49,1,49,1578,0.591133942161339,0.836666666666667,0.3625,"I2",300
"456",42,1,42,1620,0.608447488584475,0.86,0.3875,"I2",300
"457",41,1,41,1661,0.62423896499239,0.863333333333333,0.4125,"I2",300
"458",39,1,39,1700,0.639459665144597,0.87,0.4375,"I2",300
"459",38,1,38,1738,0.654109589041096,0.873333333333333,0.4625,"I2",300
"460",37,2,74,1812,0.675418569254186,0.876666666666667,0.4875,"I2",300
"461",36,1,36,1848,0.69634703196347,0.88,0.5125,"I2",300
"462",34,2,68,1916,0.716133942161339,0.886666666666667,0.5375,"I2",300
"463",27,2,54,1970,0.739345509893455,0.91,0.5625,"I2",300
"464",26,1,26,1996,0.754566210045662,0.913333333333333,0.5875,"I2",300
"465",21,1,21,2017,0.763508371385084,0.93,0.6125,"I2",300
"466",17,1,17,2034,0.770738203957382,0.943333333333333,0.6375,"I2",300
"467",14,3,42,2076,0.781963470319635,0.953333333333333,0.6625,"I2",300
"468",13,3,39,2115,0.797374429223744,0.956666666666667,0.6875,"I2",300
"469",12,3,36,2151,0.811643835616438,0.96,0.7125,"I2",300
"470",11,1,11,2162,0.82058599695586,0.963333333333333,0.7375,"I2",300
"471",10,3,30,2192,0.828386605783866,0.966666666666667,0.7625,"I2",300
"472",9,3,27,2219,0.839231354642314,0.97,0.7875,"I2",300
"473",8,4,32,2251,0.850456621004566,0.973333333333333,0.8125,"I2",300
"474",7,1,7,2258,0.857876712328767,0.976666666666667,0.8375,"I2",300
"475",6,8,48,2306,0.868340943683409,0.98,0.8625,"I2",300
"476",5,3,15,2321,0.880327245053272,0.983333333333333,0.8875,"I2",300
"477",4,8,32,2353,0.889269406392694,0.986666666666667,0.9125,"I2",300
"478",3,13,39,2392,0.902777777777778,0.99,0.9375,"I2",300
"479",2,37,74,2466,0.92427701674277,0.993333333333333,0.9625,"I2",300
"480",1,162,162,2628,0.969178082191781,0.996666666666667,0.9875,"I2",300
"481",94,1,94,94,0.0231299212598425,0.686666666666667,0.0151515151515152,"I3",300
"482",55,1,55,149,0.0597933070866142,0.816666666666667,0.0454545454545455,"I3",300
"483",53,1,53,202,0.0863681102362205,0.823333333333333,0.0757575757575758,"I3",300
"484",44,1,44,246,0.110236220472441,0.853333333333333,0.106060606060606,"I3",300
"485",42,1,42,288,0.131397637795276,0.86,0.136363636363636,"I3",300
"486",40,1,40,328,0.151574803149606,0.866666666666667,0.166666666666667,"I3",300
"487",39,2,78,406,0.180610236220472,0.87,0.196969696969697,"I3",300
"488",27,1,27,433,0.206446850393701,0.91,0.227272727272727,"I3",300
"489",25,1,25,458,0.219242125984252,0.916666666666667,0.257575757575758,"I3",300
"490",24,2,48,506,0.237204724409449,0.92,0.287878787878788,"I3",300
"491",23,4,92,598,0.271653543307087,0.923333333333333,0.318181818181818,"I3",300
"492",22,1,22,620,0.299704724409449,0.926666666666667,0.348484848484849,"I3",300
"493",21,2,42,662,0.315452755905512,0.93,0.378787878787879,"I3",300
"494",20,3,60,722,0.340551181102362,0.933333333333333,0.409090909090909,"I3",300
"495",19,2,38,760,0.364665354330709,0.936666666666667,0.439393939393939,"I3",300
"496",18,1,18,778,0.378444881889764,0.94,0.46969696969697,"I3",300
"497",17,1,17,795,0.387057086614173,0.943333333333333,0.5,"I3",300
"498",16,4,64,859,0.406988188976378,0.946666666666667,0.53030303030303,"I3",300
"499",15,2,30,889,0.43011811023622,0.95,0.560606060606061,"I3",300
"500",14,1,14,903,0.440944881889764,0.953333333333333,0.590909090909091,"I3",300
"501",13,2,26,929,0.450787401574803,0.956666666666667,0.621212121212121,"I3",300
"502",12,1,12,941,0.460137795275591,0.96,0.651515151515151,"I3",300
"503",11,4,44,985,0.473917322834646,0.963333333333333,0.681818181818182,"I3",300
"504",10,1,10,995,0.487204724409449,0.966666666666667,0.712121212121212,"I3",300
"505",9,4,36,1031,0.498523622047244,0.97,0.742424242424242,"I3",300
"506",8,7,56,1087,0.521161417322835,0.973333333333333,0.772727272727273,"I3",300
"507",7,11,77,1164,0.553887795275591,0.976666666666667,0.803030303030303,"I3",300
"508",6,12,72,1236,0.590551181102362,0.98,0.833333333333333,"I3",300
"509",5,11,55,1291,0.621801181102362,0.983333333333333,0.863636363636364,"I3",300
"510",4,21,84,1375,0.656003937007874,0.986666666666667,0.893939393939394,"I3",300
"511",3,31,93,1468,0.699557086614173,0.99,0.924242424242424,"I3",300
"512",2,72,144,1612,0.757874015748031,0.993333333333333,0.954545454545455,"I3",300
"513",1,420,420,2032,0.896653543307087,0.996666666666667,0.984848484848485,"I3",300
"514",93,1,93,93,0.0406824146981627,0.69,0.0208333333333333,"U1",300
"515",60,1,60,153,0.10761154855643,0.8,0.0625,"U1",300
"516",51,1,51,204,0.156167979002625,0.83,0.104166666666667,"U1",300
"517",46,1,46,250,0.198600174978128,0.846666666666667,0.145833333333333,"U1",300
"518",24,1,24,274,0.229221347331584,0.92,0.1875,"U1",300
"519",23,1,23,297,0.249781277340332,0.923333333333333,0.229166666666667,"U1",300
"520",22,2,44,341,0.279090113735783,0.926666666666667,0.270833333333333,"U1",300
"521",21,1,21,362,0.307524059492563,0.93,0.3125,"U1",300
"522",19,1,19,381,0.325021872265967,0.936666666666667,0.354166666666667,"U1",300
"523",17,2,34,415,0.348206474190726,0.943333333333333,0.395833333333333,"U1",300
"524",14,2,28,443,0.375328083989501,0.953333333333333,0.4375,"U1",300
"525",13,1,13,456,0.39326334208224,0.956666666666667,0.479166666666667,"U1",300
"526",12,2,24,480,0.409448818897638,0.96,0.520833333333333,"U1",300
"527",11,3,33,513,0.434383202099738,0.963333333333333,0.5625,"U1",300
