count,cumsum,mass,MAUI,pct_giving,TypeItem,sample_size
10,477,20,0.4336118848653668,0.03333333333333333,F2,300
9,495,18,0.45125348189415043,0.03,F2,300
8,519,24,0.47075208913649025,0.02666666666666667,F2,300
7,554,35,0.49814298978644383,0.023333333333333334,F2,300
6,584,30,0.5283194057567316,0.02,F2,300
5,614,30,0.5561745589600743,0.016666666666666666,F2,300
4,642,28,0.5831012070566388,0.013333333333333334,F2,300
3,696,54,0.6211699164345403,0.01,F2,300
2,792,96,0.6908077994428969,0.006666666666666667,F2,300
1,1077,285,0.8676880222841226,0.0033333333333333335,F2,300
63,63,63,0.027583187390542906,0.21,F3,300
45,108,45,0.07486865148861646,0.15,F3,300
39,147,39,0.11164623467600701,0.13,F3,300
35,182,35,0.14404553415061297,0.11666666666666667,F3,300
34,216,34,0.17425569176882663,0.11333333333333333,F3,300
32,248,32,0.2031523642732049,0.10666666666666667,F3,300
29,277,29,0.22985989492119088,0.09666666666666666,F3,300
24,301,24,0.2530647985989492,0.08,F3,300
22,323,22,0.2732049036777583,0.07333333333333333,F3,300
21,365,42,0.30122591943957966,0.07,F3,300
19,384,19,0.3279334500875657,0.06333333333333334,F3,300
17,401,17,0.3436952714535902,0.056666666666666664,F3,300
12,413,12,0.3563922942206655,0.04,F3,300
11,424,11,0.36646234676007006,0.03666666666666667,F3,300
10,444,20,0.38003502626970226,0.03333333333333333,F3,300
9,480,36,0.404553415061296,0.03,F3,300
8,488,8,0.4238178633975482,0.02666666666666667,F3,300
7,502,14,0.43345008756567427,0.023333333333333334,F3,300
6,538,36,0.4553415061295972,0.02,F3,300
5,608,70,0.5017513134851138,0.016666666666666666,F3,300
4,664,56,0.5569176882661997,0.013333333333333334,F3,300
3,736,72,0.6129597197898424,0.01,F3,300
2,854,118,0.6961471103327496,0.006666666666666667,F3,300
1,1142,288,0.8739054290718039,0.0033333333333333335,F3,300
172,172,172,0.04557498675145734,0.5733333333333334,I1,300
86,258,86,0.11393746687864335,0.2866666666666667,I1,300
81,339,81,0.15818759936406995,0.27,I1,300
74,413,74,0.1992580816110228,0.24666666666666667,I1,300
