partID,sum_MAUI,avg_MAUI,sum_UI95,avg_UI95,TypeItem
36310889,2.0018296739853625,0.5004574184963406,2,0.5,U2
36423008,2.525879552224721,0.5051759104449441,4,0.8,U2
36551840,6.71832829609483,0.516794484314987,10,0.7692307692307693,U2
36618657,2.8921176572047833,0.41315966531496906,4,0.5714285714285714,U2
36843691,4.136884514361235,0.5909835020516049,6,0.8571428571428571,U2
36875281,0.09913506320691949,0.09913506320691949,0,0,U2
36946783,4.626402345921662,0.5140447051024069,5,0.5555555555555556,U2
37240611,1.8626299170989606,0.3725259834197921,3,0.6,U2
37480222,4.214737192282103,0.5268421490352628,6,0.75,U2
37515110,6.721979277521934,0.6110890252292667,11,1,U2
37528422,1.3120425815036594,0.32801064537591484,2,0.5,U2
37572245,5.913635512147226,0.5913635512147226,8,0.8,U2
37635052,6.833795192785949,0.6833795192785949,9,0.9,U2
37757151,1.2777777777777777,0.42592592592592593,2,0.6666666666666666,U2
37792017,0.026114437791084497,0.026114437791084497,0,0,U2
37884711,3.850378021788073,0.48129725272350915,5,0.625,U2
38164284,5.682312438974055,0.5682312438974054,7,0.7,U2
38661327,2.74009399198469,0.6850234979961725,4,1,U2
38905481,6.2272122421823015,0.6227212242182302,8,0.8,U2
39040616,2.629740518962076,0.8765801729873586,3,1,U2
39153002,1.7124085163007319,0.5708028387669106,2,0.6666666666666666,U2
39201537,0.479707252162342,0.239853626081171,1,0.5,U2
39203413,5.88625632090995,0.5886256320909949,9,0.9,U2
39292371,2.638155308736214,0.43969255145603575,4,0.6666666666666666,U2
39495925,6.425243089481342,0.5354369241234452,8,0.6666666666666666,U2
39619411,1.8130405854956753,0.6043468618318918,2,0.6666666666666666,U2
39768787,19.274048870763714,0.7709619548305486,23,0.92,U2
40082831,17.14471859835223,0.7143632749313429,21,0.875,U2
40320712,0.6515302727877579,0.21717675759591928,1,0.3333333333333333,U2
40408823,1.0598802395209581,0.5299401197604791,1,0.5,U2
40418054,2.781270791749834,0.5562541583499667,4,0.8,U2
40435244,1.7087120257866144,0.3417424051573229,2,0.4,U2
40542519,1.7877578176979374,0.44693945442448435,3,0.75,U2
40573434,2.377440618980475,0.475488123796095,3,0.6,U2
40694233,9.690322186896514,0.6460214791264343,12,0.8,U2
41084249,0.5828343313373253,0.29141716566866266,1,0.5,U2
41270529,6.002485332141167,0.5456804847401061,8,0.7272727272727273,U2
41328523,2.442115768463074,0.48842315369261474,4,0.8,U2
41374261,4.614168207998777,0.5767710259998471,5,0.625,U2
41460551,4.210029641619222,0.42100296416192223,5,0.5,U2
41467866,3.0398324462724378,0.5066387410454063,3,0.5,U2
41474847,5.190650370740826,0.5190650370740826,7,0.7,U2
41490870,6.274951363236979,0.6274951363236979,9,0.9,U2
41617876,1.0362608117099135,0.34542027056997116,2,0.6666666666666666,U2
41654252,5.741772346889711,0.5741772346889711,8,0.8,U2
41752824,2.5914953003198753,0.5182990600639751,4,0.8,U2
41895884,2.629740518962076,0.8765801729873586,3,1,U2
41899734,3.7097767105950004,0.5299681015135715,5,0.7142857142857143,U2
41939487,4.53539794785525,0.755899657975875,5,0.8333333333333334,U2
41977405,4.328509647371923,0.5410637059214903,6,0.75,U2
42072154,5.71176912267428,0.571176912267428,7,0.7,U2
42159172,3.4278110445775116,0.5713018407629186,5,0.8333333333333334,U2
42231924,1.4466067864271457,0.2893213572854291,3,0.6,U2
42625283,8.106599099535556,0.8106599099535556,9,0.9,U2
42707260,0.07052561543579508,0.07052561543579508,0,0,U2
42840058,2.657897498638766,0.5315794997277532,3,0.6,U2
43056996,1.241350632069195,0.31033765801729873,1,0.25,U2
43379656,2.587325349301397,0.36961790704305675,3,0.42857142857142855,U2
43791558,2.151435390244328,0.4302870780488657,2,0.4,U2
43892492,10.439845939946464,0.652490371246654,14,0.875,U2
44471383,0.9419494344644045,0.47097471723220224,1,0.5,U2
44695948,6.523777395266092,0.6523777395266092,7,0.7,U2
44729208,2.841395985859929,0.4735659976433216,3,0.5,U2
44916592,3.0156649341478947,0.4308092763068421,4,0.5714285714285714,U2
45141465,9.942061287894543,0.7101472348496103,13,0.9285714285714286,U2
45252340,0.7574850299401198,0.3787425149700599,1,0.5,U2
45404069,11.782777880174875,0.6545987711208264,15,0.8333333333333334,U2
45706401,5.288814582534657,0.4808013256849688,6,0.5454545454545454,U2
45795169,2.872949601016403,0.47882493350273386,4,0.6666666666666666,U2
45825541,8.848576701521482,0.6320411929658202,11,0.7857142857142857,U2
46162700,0.09913506320691949,0.09913506320691949,0,0,U2
46404173,2.6580172987358615,0.5316034597471723,4,0.8,U2
46419345,4.273070890890955,0.6104386986987079,6,0.8571428571428571,U2
46725413,7.64226629350339,0.5878666379617992,11,0.8461538461538461,U2
46809593,1.3654357950765137,0.6827178975382568,2,1,U2
47077487,7.393394938694297,0.6721268126085724,10,0.9090909090909091,U2
47138507,3.3626867376896032,0.5604477896149339,4,0.6666666666666666,U2
47224003,10.81829387202909,0.6010163262238383,14,0.7777777777777778,U2
47574555,10.984322249247134,0.6865201405779459,15,0.9375,U2
48161169,10.284997089759608,0.6428123181099755,14,0.875,U2
48190565,3.6522742293729036,0.5217534613389863,5,0.7142857142857143,U2
